tenure,avgmonthlyspend,MonthlyCharges,InternetService_Fiber optic,Contract_Two year,PaymentMethod_Electronic check,gender,PaperlessBilling,Contract_One year,OnlineSecurity_Yes,Partner,TechSupport_Yes,OnlineBackup_Yes,SeniorCitizen,DeviceProtection_Yes,Churn
1,37.35,74.7,1,0,1,1,0,0,0,0,1,0,1,0,0
66,85.28731343283582,84.0,0,1,0,1,1,0,1,1,1,0,0,1,0
65,107.68181818181819,111.05,1,0,0,0,1,0,1,0,0,1,0,1,0
72,102.17876712328767,100.9,1,1,0,1,1,0,0,0,0,1,0,1,0
12,71.33461538461539,78.95,1,0,1,0,1,0,1,0,0,0,0,0,1
71,65.95416666666667,66.85,0,0,0,1,1,1,1,1,1,1,0,0,0
5,18.974999999999998,21.05,0,0,0,1,0,0,0,0,0,0,0,0,1
52,20.89056603773585,21.0,0,1,0,1,0,0,0,0,0,0,0,0,0
25,96.71153846153847,98.5,1,0,1,0,1,0,0,1,0,1,1,1,1
1,10.1,20.2,0,0,0,1,0,0,0,0,0,0,0,0,0
1,9.725,19.45,0,0,1,0,0,0,0,1,0,0,0,0,0
38,92.45128205128205,95.0,1,0,0,1,0,1,0,0,1,0,0,1,0
66,45.18283582089552,45.55,0,0,0,0,0,1,0,1,0,1,1,1,0
68,110.31666666666668,110.0,1,1,0,1,1,0,0,1,1,1,0,1,1
5,16.7,24.3,0,0,0,1,0,0,0,0,0,0,0,0,0
72,100.04178082191781,104.15,1,0,1,0,1,1,1,1,0,1,0,0,0
32,28.11060606060606,30.15,0,0,0,0,0,1,1,0,0,0,0,0,0
43,89.12045454545455,94.35,1,0,0,1,0,1,0,0,0,0,0,0,0
72,18.674657534246574,19.4,0,1,0,1,0,0,0,1,0,0,0,0,0
55,93.55178571428571,96.75,1,0,1,1,1,0,1,1,0,1,0,0,1
52,57.40094339622642,57.95,0,0,0,0,0,1,1,0,1,0,0,1,0
43,89.86590909090908,91.65,1,0,1,0,1,0,0,0,0,1,0,1,0
37,75.47763157894737,76.5,1,0,1,0,1,0,0,1,0,0,1,0,1
64,52.66923076923077,54.6,0,1,1,0,1,0,0,1,1,1,0,0,0
3,62.1,89.85,1,0,1,1,0,0,1,1,0,1,0,0,0
36,30.44189189189189,31.05,0,1,0,0,0,0,1,0,0,0,0,0,0
10,96.78636363636365,100.25,1,0,1,0,1,0,1,1,0,0,0,0,1
41,19.88452380952381,20.65,0,1,0,0,0,0,0,0,0,0,0,0,0
27,76.84285714285714,85.2,1,0,0,1,1,0,0,1,1,1,0,0,0
56,96.76228070175438,99.8,1,0,0,0,1,1,0,1,0,0,0,1,0
6,16.107142857142858,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0
3,57.3875,74.4,1,0,1,1,1,0,0,0,0,0,0,0,1
7,43.79375,50.7,0,0,0,0,0,0,1,1,0,0,0,0,0
4,12.58,20.85,0,0,0,0,0,0,0,1,0,0,0,0,0
33,89.0485294117647,88.95,1,1,1,1,1,0,1,0,1,0,0,0,0
27,76.26785714285714,78.05,1,0,1,0,1,0,0,0,0,0,1,1,1
72,23.615753424657534,23.55,0,1,0,1,1,0,0,1,0,0,0,0,0
1,9.875,19.75,0,0,0,1,0,0,0,0,0,0,0,0,0
71,55.35208333333333,56.45,0,0,1,1,1,1,1,0,0,1,1,0,0
13,86.83214285714287,85.95,1,0,1,0,1,0,0,0,0,0,0,0,0
25,57.79423076923077,58.6,0,0,0,0,1,0,1,1,0,1,0,1,1
67,47.942647058823525,50.55,0,1,0,1,0,0,0,0,1,0,0,0,0
1,17.725,35.45,0,0,1,1,1,0,0,0,0,0,0,0,1
2,27.083333333333332,44.35,0,0,1,1,0,0,0,0,0,0,0,0,1
43,27.004545454545454,25.7,0,1,0,0,1,0,0,0,0,0,0,0,0
23,74.10416666666667,75.0,1,0,0,0,1,0,1,0,0,0,0,0,0
64,19.657692307692308,20.2,0,1,0,0,0,0,0,1,0,0,0,0,0
57,20.181896551724137,19.6,0,1,0,1,1,0,0,0,0,0,0,0,0
1,35.225,70.45,1,0,0,0,1,0,0,1,0,0,1,0,1
72,88.02260273972603,88.05,0,1,0,0,1,0,1,1,1,1,1,1,0
8,62.62777777777777,71.15,0,0,1,0,0,0,1,0,1,0,0,0,1
61,96.31048387096774,101.05,1,1,0,0,1,0,0,1,0,1,0,0,0
64,81.37,84.3,1,0,0,1,1,1,1,0,0,1,0,0,0
71,24.391666666666666,23.95,0,1,0,1,0,0,0,1,0,0,1,0,0
65,97.22272727272727,99.05,1,1,0,0,1,0,1,1,1,1,0,0,0
3,15.3375,19.6,0,0,0,1,0,1,0,0,0,0,0,0,0
1,22.825,45.65,0,0,1,1,1,0,0,0,0,0,0,0,1
30,62.25645161290323,64.5,0,0,0,1,0,1,0,0,0,1,0,1,0
15,66.9625,69.5,0,0,0,1,1,0,0,1,1,1,0,1,0
8,62.705555555555556,68.55,0,0,1,0,1,0,0,1,1,0,0,0,0
7,81.9375,95.0,1,0,0,1,0,0,0,0,0,0,0,0,1
70,111.69788732394366,108.15,1,0,0,0,1,1,1,1,0,1,0,1,0
62,82.78174603174604,86.1,0,1,1,1,0,0,1,1,1,1,0,1,0
6,16.214285714285715,19.7,0,0,0,0,0,0,0,1,0,0,0,0,0
14,76.85333333333332,80.9,1,0,0,0,1,0,0,1,0,0,0,0,0
22,79.21521739130435,84.15,1,0,0,0,1,0,0,0,0,0,0,0,0
22,18.256521739130434,20.15,0,0,0,1,0,1,0,1,0,0,0,0,0
16,60.23529411764706,64.25,0,1,0,1,0,0,1,1,0,0,0,1,0
10,22.87272727272727,25.7,0,1,0,1,0,0,0,0,0,0,0,0,0
13,54.61071428571428,56.0,0,0,1,0,1,0,1,0,0,1,0,0,0
20,75.82619047619048,82.4,1,0,1,0,0,0,1,1,0,0,0,0,1
2,45.06666666666666,69.7,1,0,1,0,1,0,0,0,0,0,0,0,0
53,73.30092592592592,73.9,0,1,0,1,1,0,0,0,1,1,0,1,0
11,19.491666666666667,20.6,0,0,0,0,0,1,0,1,0,0,0,0,0
69,19.477857142857143,19.9,0,1,0,1,0,0,0,1,0,0,0,0,0
4,54.6,70.9,1,0,0,0,1,0,0,0,0,0,0,0,1
72,85.67739726027396,89.05,0,1,0,1,1,0,1,1,1,1,0,1,0
58,44.93559322033898,45.3,0,0,1,1,1,0,0,1,0,1,1,1,1
16,18.905882352941177,20.4,0,0,1,0,0,0,0,1,0,0,0,0,0
43,80.4375,84.25,1,0,0,1,1,1,1,1,1,0,0,1,0
2,80.93333333333334,104.4,1,0,1,0,1,0,0,1,1,0,0,1,1
14,78.78333333333333,81.95,0,1,0,1,0,0,0,1,1,1,0,1,0
53,92.59629629629629,94.85,1,0,0,0,1,1,0,1,0,0,0,1,1
32,19.834848484848482,20.55,0,0,0,0,0,1,0,0,0,0,0,0,0
34,22.291428571428572,24.7,0,0,1,0,0,0,0,1,0,0,0,0,0
15,71.60625,74.45,1,0,0,0,1,0,0,0,0,0,1,0,1
7,62.95,76.45,1,0,0,0,0,0,1,0,0,0,1,0,1
15,97.453125,105.35,1,0,0,0,1,0,0,1,0,1,0,1,0
61,20.193548387096776,20.55,0,0,0,1,1,1,0,1,0,0,0,0,0
1,14.975,29.95,0,0,0,0,0,0,0,0,0,1,0,0,1
1,22.65,45.3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,73.62777777777778,84.5,1,0,0,1,0,0,0,0,0,0,0,0,1
33,72.15588235294118,74.75,0,0,0,1,0,1,1,1,0,0,0,1,0
13,79.40357142857144,79.25,1,0,1,0,1,0,0,0,0,1,0,1,1
1,12.4,24.8,0,0,1,0,1,0,0,1,0,0,0,0,1
20,48.75476190476191,51.8,0,0,0,1,1,0,0,0,0,1,0,0,0
3,20.5375,30.4,0,0,1,1,0,0,0,0,1,0,0,0,0
13,17.485714285714288,19.65,0,0,1,0,0,1,0,0,0,0,0,0,0
40,58.02682926829268,56.6,0,0,0,0,0,0,0,1,0,1,0,0,0
43,72.12159090909091,71.9,0,0,0,1,1,1,1,1,1,0,0,0,0
6,75.85714285714286,91.0,1,0,1,1,1,0,0,1,0,1,0,1,1
69,19.64857142857143,19.75,0,1,0,0,0,0,0,1,0,0,0,0,0
72,111.36027397260274,109.7,1,1,0,0,0,0,1,1,0,1,0,1,0
59,19.878333333333334,19.3,0,1,0,1,0,0,0,1,0,0,0,0,0
20,90.5547619047619,96.55,1,0,1,0,1,0,1,1,1,1,0,0,0
24,23.496,24.1,0,1,0,1,1,0,0,1,0,0,0,0,0
59,108.6625,111.35,1,0,1,1,1,0,0,0,1,1,0,1,0
72,110.15958904109588,112.25,1,1,0,1,1,0,0,1,1,1,0,1,0
1,10.375,20.75,0,0,0,1,0,0,0,0,0,0,0,0,0
27,95.75535714285715,101.9,1,0,0,0,1,1,1,1,1,0,0,0,0
14,74.15333333333334,80.05,1,0,0,0,1,0,0,0,1,1,0,0,0
71,102.85416666666667,105.55,1,1,1,1,0,0,1,1,0,0,0,1,0
13,73.85357142857143,78.3,1,0,0,1,1,0,0,0,0,0,0,0,0
44,65.75444444444445,68.85,1,0,0,1,0,0,0,0,0,0,0,0,0
33,78.96617647058824,79.95,1,0,0,0,1,1,0,0,1,1,0,0,0
72,57.249315068493146,55.45,0,1,0,1,1,0,1,1,1,1,0,1,0
1,39.95,79.9,1,0,1,1,0,0,0,0,0,0,0,0,1
19,96.7225,106.6,1,0,1,0,1,0,1,0,1,0,0,1,1
64,102.37076923076924,102.45,1,0,0,1,1,1,0,1,1,1,0,1,0
2,28.166666666666668,46.0,0,0,0,1,1,0,0,0,0,0,0,0,1
1,12.625,25.25,0,0,1,0,0,0,0,0,0,0,0,0,0
61,18.13225806451613,19.75,0,1,0,1,0,0,0,0,0,0,0,0,0
29,18.001666666666665,20.0,0,0,1,0,0,1,0,1,0,0,0,0,0
23,82.32708333333333,86.8,1,0,1,1,0,0,0,1,0,0,1,0,0
57,59.266379310344824,58.75,0,0,0,0,1,0,1,1,0,1,0,1,0
72,43.01095890410959,45.25,0,1,0,1,0,0,1,1,1,1,0,1,0
66,56.55522388059701,56.6,0,1,0,1,1,0,1,1,1,1,0,1,0
65,80.67424242424242,84.2,0,1,0,1,1,0,0,1,1,1,0,1,0
8,69.4,80.0,1,0,0,0,1,0,0,0,0,0,0,0,0
4,53.67,70.15,1,0,1,0,1,0,0,0,0,0,0,0,1
71,25.512500000000003,24.75,0,1,0,0,0,0,0,1,0,0,0,0,0
1,10.1,20.2,0,0,1,1,1,1,0,1,0,0,0,0,0
4,35.87,50.05,0,0,0,1,0,0,0,1,1,0,0,0,1
12,16.873076923076923,19.35,0,0,0,0,1,1,0,0,0,0,0,0,0
24,51.55,50.6,0,0,0,1,1,1,1,0,0,0,0,0,0
31,79.5546875,81.15,0,0,0,0,1,1,1,1,1,0,0,1,0
1,27.6,55.2,0,0,0,0,0,0,0,1,0,0,0,0,1
30,87.84354838709677,89.9,1,0,0,1,1,0,0,0,1,0,0,0,0
47,85.56770833333333,85.3,0,1,0,0,1,0,1,1,1,1,0,0,0
54,104.7390909090909,108.0,1,1,0,1,1,0,1,0,1,1,0,0,0
50,93.08823529411765,93.5,1,0,0,1,1,0,1,0,1,1,0,0,0
1,42.3,84.6,1,0,0,1,1,0,1,0,0,0,0,0,1
72,21.464383561643835,20.25,0,1,0,0,0,0,0,0,0,0,0,0,0
29,23.4,25.15,0,0,1,0,0,0,0,0,0,0,0,0,0
2,38.03333333333333,54.4,0,0,0,1,1,0,0,0,0,1,0,0,1
10,27.186363636363637,29.6,0,1,0,0,1,0,0,0,1,0,0,0,0
18,68.73421052631579,73.15,1,0,1,1,1,0,0,1,0,0,0,0,0
11,93.35833333333333,95.0,1,0,1,0,1,0,0,0,0,1,1,0,1
16,16.726470588235294,19.75,0,1,0,1,0,0,0,0,0,0,0,0,0
72,86.9931506849315,86.6,0,1,0,0,0,0,0,0,1,1,0,1,0
72,107.92191780821918,109.2,1,1,0,1,0,0,0,0,1,1,0,1,0
41,75.89642857142857,74.7,0,0,0,0,1,1,1,1,1,0,0,0,0
65,92.82045454545454,94.4,1,0,1,0,0,0,1,1,0,1,1,1,0
13,52.23571428571428,54.8,0,0,1,0,1,0,0,0,0,1,1,1,0
4,54.67999999999999,75.35,1,0,1,1,0,0,1,0,0,0,1,0,0
41,60.280952380952385,65.0,0,0,0,1,0,1,0,0,0,0,0,1,0
15,67.14375,74.4,1,0,1,1,1,0,0,0,0,1,1,0,1
1,24.275,48.55,0,0,0,1,1,0,1,0,0,0,0,0,1
42,99.96395348837208,99.0,1,0,1,1,1,1,1,0,0,1,0,1,0
51,88.8375,93.5,1,0,1,0,1,1,1,1,0,1,0,1,0
2,49.050000000000004,70.4,1,0,1,0,0,0,0,1,0,0,0,0,1
1,20.1,40.2,0,0,1,1,0,0,0,1,0,1,1,0,1
32,79.7969696969697,83.7,0,0,0,1,0,1,0,0,1,1,0,1,0
10,17.55,19.85,0,0,0,1,1,0,0,0,0,0,0,0,0
67,60.35147058823529,59.55,0,1,1,0,1,0,0,1,1,1,0,1,0
61,113.03467741935484,115.1,1,1,0,0,0,0,1,1,1,1,0,1,0
50,113.55098039215687,114.35,1,0,0,1,0,1,1,0,1,1,0,1,0
2,26.849999999999998,44.6,0,0,0,0,1,0,0,1,0,0,0,0,1
29,40.955000000000005,45.0,0,0,1,0,1,0,1,1,0,0,1,1,0
3,33.05,41.15,0,0,1,1,1,0,0,0,0,0,1,1,1
13,97.45,106.9,1,0,1,1,1,0,0,0,0,1,1,1,1
57,84.9198275862069,89.85,1,0,1,1,1,0,0,1,0,1,1,0,0
31,47.503125,49.85,0,1,0,0,1,0,1,0,1,1,0,0,0
45,109.39673913043478,113.3,1,0,0,0,0,1,1,1,1,1,0,1,0
61,89.14112903225806,88.1,0,1,0,0,0,0,1,1,1,1,0,1,0
50,23.436274509803923,24.9,0,1,0,1,0,0,0,0,0,0,0,0,0
19,100.3625,105.0,1,0,0,0,1,0,1,0,1,1,1,0,0
59,18.326666666666664,19.35,0,1,0,1,0,0,0,0,0,0,0,0,1
71,24.06875,24.25,0,1,0,0,1,0,0,1,0,0,0,0,0
16,88.89411764705882,94.45,1,0,1,0,1,0,0,0,1,0,1,0,1
57,59.48534482758621,59.75,0,1,1,1,1,0,1,1,1,1,0,0,0
1,12.4,24.8,0,0,0,1,0,0,0,0,0,0,0,0,1
20,103.43095238095239,107.05,1,0,1,1,0,0,0,1,1,1,1,0,0
1,35.3,70.6,1,0,0,1,0,0,0,0,0,0,0,0,1
5,66.85000000000001,85.4,1,0,1,1,1,0,0,1,1,1,0,0,1
52,106.12924528301888,105.05,1,0,1,0,1,0,0,1,0,1,0,1,1
21,60.9,64.95,0,0,0,1,1,0,1,1,0,1,1,0,0
14,51.46333333333334,55.0,0,0,1,1,1,0,0,0,1,0,0,1,0
5,40.791666666666664,50.55,0,0,0,0,0,0,0,0,0,1,0,0,0
6,46.128571428571426,55.15,0,0,0,0,0,0,1,0,0,1,0,0,0
10,45.29545454545455,51.2,0,0,1,0,0,0,0,0,0,1,0,0,0
1,12.7,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0
68,53.44565217391305,54.45,0,0,0,0,0,0,1,0,0,0,0,0,0
18,93.68157894736842,95.15,1,0,0,1,0,0,0,1,0,0,0,1,1
22,77.54782608695652,76.0,1,0,0,0,1,1,0,0,0,0,0,0,0
20,44.15,44.35,0,0,1,0,1,0,0,0,0,0,0,0,0
1,35.0,70.0,1,0,1,1,0,0,0,1,0,0,0,0,1
8,67.39444444444445,74.5,1,0,1,1,1,0,0,0,0,1,1,0,1
10,39.58181818181818,44.85,0,0,0,1,1,0,0,0,0,0,0,0,1
24,68.508,76.1,1,0,1,1,1,0,0,0,0,0,1,0,1
35,56.144444444444446,61.2,0,0,0,1,0,1,1,0,0,1,0,1,0
23,80.86666666666666,86.8,1,0,0,1,0,1,0,1,1,1,0,1,0
6,81.11428571428571,89.35,1,0,1,0,1,0,0,0,0,0,1,0,0
12,16.95,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10.125,20.25,0,0,0,1,0,0,0,0,0,0,0,0,0
71,75.50625,76.05,1,1,1,0,0,0,0,1,0,0,0,1,0
35,95.48611111111111,100.8,1,0,1,1,1,0,0,1,0,0,1,1,0
40,73.5548780487805,74.55,0,0,1,1,1,0,0,1,0,0,0,1,0
1,36.8,73.6,1,0,0,0,1,0,1,0,0,0,0,0,1
23,62.90833333333333,64.9,0,0,0,1,1,1,0,0,0,0,0,0,0
4,79.22,95.45,1,0,1,0,1,0,0,0,0,0,1,0,1
4,71.33,90.4,1,0,1,1,1,0,0,0,1,0,0,1,0
68,59.55072463768116,60.3,0,1,0,0,0,0,0,1,1,1,0,1,0
38,80.55641025641025,81.85,1,0,0,1,1,0,0,0,0,1,0,0,0
52,23.19056603773585,24.8,0,1,0,1,0,0,0,1,0,0,0,0,0
32,69.79848484848485,74.9,1,0,1,1,1,0,0,1,0,0,1,0,1
29,68.48,75.55,0,1,0,1,0,0,0,1,1,0,0,1,0
38,95.94487179487179,101.15,1,0,1,1,0,0,0,1,0,1,1,0,0
48,75.15204081632653,78.75,0,0,0,1,1,1,1,0,0,0,0,1,0
1,9.625,19.25,0,0,0,0,1,0,0,0,0,0,0,0,0
22,82.01086956521739,89.05,1,0,1,0,1,0,1,0,1,0,0,0,0
43,111.25227272727274,115.05,1,1,0,0,0,0,1,0,1,1,0,1,0
5,56.93333333333334,69.35,1,0,1,0,1,0,0,1,0,0,1,0,0
5,69.25833333333334,80.6,1,0,1,1,1,0,0,0,0,0,0,0,1
51,109.35384615384615,110.05,1,0,0,1,0,1,1,1,1,1,0,0,0
71,18.820833333333333,19.9,0,1,0,1,1,0,0,0,0,0,0,0,0
38,78.42692307692307,80.3,0,0,0,0,0,1,1,1,1,1,0,0,1
24,89.242,93.15,1,0,1,1,1,0,0,1,0,0,1,1,1
35,89.89861111111111,91.5,1,0,0,1,1,0,0,1,1,0,0,0,0
54,79.09272727272727,82.45,0,0,0,0,0,1,1,0,1,1,1,0,1
72,58.41095890410959,60.0,0,1,1,0,1,0,0,1,1,1,0,1,0
1,22.4,44.8,0,0,1,1,1,0,0,0,0,0,0,0,0
9,42.230000000000004,48.6,0,0,0,0,0,1,1,1,0,0,0,0,0
69,59.667142857142856,60.05,0,1,0,1,1,0,1,0,1,1,0,0,0
52,96.94528301886793,102.7,1,0,0,0,1,0,0,1,1,1,0,0,0
11,73.33749999999999,82.9,1,0,1,0,1,0,0,1,1,0,1,0,0
2,46.35,70.35,1,0,1,0,1,0,0,0,0,0,1,0,1
28,33.574137931034485,35.9,0,0,1,0,1,0,0,1,0,0,1,0,0
17,81.66944444444444,82.65,1,0,0,0,1,0,0,0,0,0,1,1,0
35,20.5375,19.85,0,1,0,0,1,0,0,1,0,0,0,0,0
8,17.994444444444444,19.2,0,0,0,0,1,1,0,0,0,0,0,0,0
46,94.10531914893616,94.9,1,0,0,1,1,1,0,0,0,1,0,1,0
7,63.90625,73.85,1,0,1,0,1,0,0,0,0,0,0,0,1
2,51.93333333333334,80.6,1,0,0,0,0,0,0,0,0,0,0,1,1
68,76.72391304347826,75.8,0,0,0,1,1,1,0,1,1,1,0,1,1
43,108.1784090909091,104.6,1,1,1,0,1,0,0,0,0,1,0,1,1
68,89.10797101449275,88.15,0,1,1,0,1,0,1,0,1,1,0,1,0
36,96.36891891891892,94.8,1,0,0,0,1,0,0,0,0,1,0,0,0
63,103.171875,103.4,1,0,1,1,1,0,0,1,0,1,0,1,1
32,55.45757575757575,54.65,0,0,0,0,0,0,0,0,1,1,1,0,0
71,86.44166666666666,85.75,0,1,0,0,0,0,1,1,1,1,0,1,0
66,67.29328358208954,67.45,0,0,0,0,1,0,1,1,0,1,0,1,0
63,20.75234375,20.5,0,0,0,1,0,1,0,0,0,0,0,0,0
41,20.595238095238095,20.25,0,0,0,0,1,1,0,0,0,0,0,0,0
1,36.05,72.1,1,0,1,0,1,0,0,0,0,0,1,0,0
2,56.06666666666666,90.4,1,0,1,0,1,0,0,0,0,0,0,0,1
70,18.359154929577464,19.45,0,1,0,0,0,0,0,1,0,0,0,0,0
23,41.53541666666667,44.95,0,0,1,0,1,0,0,0,0,0,0,0,0
64,98.93692307692307,97.0,1,0,0,0,0,1,1,1,0,1,1,1,0
37,59.9671052631579,62.8,0,1,0,1,1,0,1,1,1,0,0,1,0
